type,legacy_id,title,existing_url,published,modified,proposed_topic,action,traffic,backlinks,review
post,2328,Building in public? Get ready for the energy vampires.,https://www.valonasani.com/building-in-public-get-ready-for-the-energy-vampires/,2025-06-19T17:11:23,2025-06-19T20:41:15,business-technology,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2323,Tomorrow is a Lie – and things are not like they seem,https://www.valonasani.com/tomorrow-is-a-lie-and-things-are-not-like-they-seem/,2025-04-13T16:38:12,2025-04-13T16:38:13,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2309,Three ways to define the Present Moment and one way to really understand it.,https://www.valonasani.com/three-ways-to-define-the-present-moment-and-one-way-to-really-understand-it/,2025-03-09T09:52:30,2025-03-09T09:53:08,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2299,Conversation With Grok about God.,https://www.valonasani.com/conversation-with-grok-about-god/,2025-03-06T15:41:19,2025-03-06T15:46:27,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2234,"Albanians! We Are Born Warriors — Awaken, Break the Chains, and Remember Who You Are!",https://www.valonasani.com/albanians-we-are-born-warriors-awaken-break-the-chains-and-remember-who-you-are/,2025-01-18T23:10:21,2025-03-05T14:58:33,life-between-cultures,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2224,It’s time to get yourself back.,https://www.valonasani.com/time-to-get-yourself-back/,2025-01-02T14:27:42,2025-01-12T21:03:58,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2202,Designed to win – programmed to fail.,https://www.valonasani.com/design-to-win-programmed-to-fail/,2023-10-21T22:23:00,2023-10-22T06:13:01,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2196,Why not eating a Croissant every morning can change your life,https://www.valonasani.com/why-not-eating-a-croissant-every-morning-can-change-your-life/,2023-10-20T22:25:58,2023-10-20T22:35:57,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Review factual health claims
post,2146,"Remember who you are and most importantly, who you are not",https://www.valonasani.com/remember-who-you-are-and-most-importantly-who-you-are-not/,2023-02-22T16:57:58,2023-02-22T17:03:42,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2115,"You are not the master, mind! I am the mastermind.",https://www.valonasani.com/you-are-not-the-master-mind-i-am-the-mastermind/,2022-11-26T18:43:22,2022-11-26T23:17:26,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
post,2100,Break the pact – you are worthy!,https://www.valonasani.com/break-the-pact-you-are-worthy/,2022-11-18T21:55:56,2022-11-18T22:40:36,personal-growth,Keep URL and original date,Search Console baseline pending,Backlink baseline pending,Editorial review
